STATUS,200
MESSAGEID,M181000I
MESSAGE,正常に終了しました。
DATE,2026-03-03T12:35:21.007+09:00
PARAMETER,FORMAT,CSV
PARAMETER,LANG,JP
PARAMETER,DB,PR01
PARAMETER,STARTDATE,
PARAMETER,ENDDATE,
PARAMETER,STARTPOSITION,
NEXTPOSITION,
SERIES_CODE,NAME_OF_TIME_SERIES_J,UNIT_J,FREQUENCY,CATEGORY_J,LAST_UPDATE,SURVEY_DATES,VALUES
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196404,48.5
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196405,48.3
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196406,48.2
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196407,48.3
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196408,48.5
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196409,48.6
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196410,48.6
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196411,48.6
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196412,48.6
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196501,49
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196502,49
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196503,49
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196504,49
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196505,49
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196506,48.8
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196507,48.7
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196508,48.8
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196509,49
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196510,49
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196511,49.1
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196512,49.3
PRCG20_2200000000,[国内企業物価指数] 総平均,2020年=100,MONTHLY,企業物価指数 2020年基準/国内企業物価指数,20260212,196601,49.6
